,,,,,,,,,,
start,start time,end,end time,class,App variable,Table,Schema variable,method,Map source,Valid in use case
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",DeliveryScheduledFreightValue.java,value,CKWL_ENTREGA_AGENDADA_VALOR,VL_ENTREGA_AGENDADA,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",Region.java,id,CKWL_REGIAO,CD_REGIAO,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",Region.java,state,CKWL_REGIAO,CD_ESTADO_FK,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",Region.java,regiao,CKWL_REGIAO,NM_REGIAO,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightCepBand.java,id,CKWL_FRETE_SIMPLES_FAIXA_CEP,CD_FRETE_SIMPLES_FAIXA_CEP,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightCepBand.java,region,CKWL_FRETE_SIMPLES_FAIXA_CEP,CD_REGIAO_FK,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightCepBand.java,initialCep,CKWL_FRETE_SIMPLES_FAIXA_CEP,VL_CEP_INICIAL,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightCepBand.java,finalCep,CKWL_FRETE_SIMPLES_FAIXA_CEP,VL_CEP_FINAL,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightValue.java,value,CKWL_FRETE_SIMPLES_VALOR,VL_FRETE_SIMPLES,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightValuePK.java,region,CKWL_FRETE_SIMPLES_VALOR,CD_REGIAO_FK,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightValuePK.java,simpleFreightWeightBand,CKWL_FRETE_SIMPLES_VALOR,CD_FRETE_SIMPLES_FAIXA_PESO_FK,JPA,,use case 1
